;	V3 text file written for MicroBrightField products.
(ImageCoords)

("Cell Body"
  (Color Blue)
  (CellBody)
  (   -6.04    21.85    -3.30     0.09)  ;  1, 1
  (   -6.12    21.77    -3.30     0.09)  ;  1, 2
  (   -6.12    21.09    -3.30     0.09)  ;  1, 3
  (   -6.21    20.75    -3.30     0.09)  ;  1, 4
  (   -6.21    20.24    -3.30     0.09)  ;  1, 5
  (   -6.29    19.64    -3.30     0.09)  ;  1, 6
  (   -6.29    19.47    -3.30     0.09)  ;  1, 7
  (   -6.38    19.30    -3.30     0.09)  ;  1, 8
  (   -6.38    18.96    -3.30     0.09)  ;  1, 9
  (   -6.55    18.88    -3.30     0.09)  ;  1, 10
  (   -6.55    18.71    -3.30     0.09)  ;  1, 11
  (   -6.63    18.62    -3.30     0.09)  ;  1, 12
  (   -6.72    18.54    -3.30     0.09)  ;  1, 13
  (   -6.72    18.37    -3.30     0.09)  ;  1, 14
  (   -6.80    18.28    -3.30     0.09)  ;  1, 15
  (   -6.80    17.60    -3.30     0.09)  ;  1, 16
  (   -6.89    17.43    -3.30     0.09)  ;  1, 17
  (   -6.97    17.35    -3.30     0.09)  ;  1, 18
  (   -6.97    15.31    -3.30     0.09)  ;  1, 19
  (   -7.06    15.22    -3.30     0.09)  ;  1, 20
  (   -7.06    14.63    -3.30     0.09)  ;  1, 21
  (   -7.23    14.37    -3.30     0.09)  ;  1, 22
  (   -7.31    14.20    -3.30     0.09)  ;  1, 23
  (   -7.31    13.60    -3.30     0.09)  ;  1, 24
  (   -7.40    13.52    -3.30     0.09)  ;  1, 25
  (   -7.40    12.92    -3.30     0.09)  ;  1, 26
  (   -7.57    12.75    -3.30     0.09)  ;  1, 27
  (   -7.57    12.24    -3.30     0.09)  ;  1, 28
  (   -7.65    12.07    -3.30     0.09)  ;  1, 29
  (   -7.65    10.80    -3.30     0.09)  ;  1, 30
  (   -7.74    10.63    -3.30     0.09)  ;  1, 31
  (   -7.74    10.37    -3.30     0.09)  ;  1, 32
  (   -7.82    10.12    -3.30     0.09)  ;  1, 33
  (   -7.82     9.95    -3.30     0.09)  ;  1, 34
  (   -7.91     9.78    -3.30     0.09)  ;  1, 35
  (   -7.99     9.69    -3.30     0.09)  ;  1, 36
  (   -8.08     9.61    -3.30     0.09)  ;  1, 37
  (   -8.08     9.27    -3.30     0.09)  ;  1, 38
  (   -8.16     9.01    -3.30     0.09)  ;  1, 39
  (   -8.25     8.59    -3.30     0.09)  ;  1, 40
  (   -8.33     8.33    -3.30     0.09)  ;  1, 41
  (   -8.50     7.99    -3.30     0.09)  ;  1, 42
  (   -8.59     7.82    -3.30     0.09)  ;  1, 43
  (   -8.59     6.80    -3.30     0.09)  ;  1, 44
  (   -8.67     6.55    -3.20     0.09)  ;  1, 45
  (   -8.76     6.29    -3.20     0.09)  ;  1, 46
  (   -8.76     5.95    -3.20     0.09)  ;  1, 47
  (   -8.84     5.78    -3.20     0.09)  ;  1, 48
  (   -8.84     4.76    -2.70     0.09)  ;  1, 49
  (   -8.93     4.51    -2.70     0.09)  ;  1, 50
  (   -8.93     4.25    -2.70     0.09)  ;  1, 51
  (   -9.01     4.08    -2.20     0.09)  ;  1, 52
  (   -9.01     3.83    -2.20     0.09)  ;  1, 53
  (   -9.10     3.66    -2.20     0.09)  ;  1, 54
  (   -9.18     3.40    -1.80     0.09)  ;  1, 55
  (   -9.18     3.15    -1.80     0.09)  ;  1, 56
  (   -9.27     2.98    -1.80     0.09)  ;  1, 57
  (   -9.27     2.81    -1.30     0.09)  ;  1, 58
  (   -9.35     2.55    -1.30     0.09)  ;  1, 59
  (   -9.52     2.38    -1.00     0.09)  ;  1, 60
  (   -9.69     2.21    -1.00     0.09)  ;  1, 61
  (   -9.78     2.04    -1.00     0.09)  ;  1, 62
  (   -9.78     1.87    -0.70     0.09)  ;  1, 63
  (   -9.95     1.70    -0.70     0.09)  ;  1, 64
  (  -10.03     1.53    -0.30     0.09)  ;  1, 65
  (  -10.12     1.36     0.10     0.09)  ;  1, 66
  (  -10.20     1.28     0.10     0.09)  ;  1, 67
  (  -10.20     0.94     0.10     0.09)  ;  1, 68
  (  -10.29     0.85     0.10     0.09)  ;  1, 69
  (  -10.29     0.26     0.50     0.09)  ;  1, 70
  (  -10.37     0.17     0.60     0.09)  ;  1, 71
  (  -10.46     0.09     0.60     0.09)  ;  1, 72
  (  -10.46    -0.09     0.60     0.09)  ;  1, 73
  (  -10.54    -0.26     0.60     0.09)  ;  1, 74
  (  -10.63    -0.34     0.60     0.09)  ;  1, 75
  (  -10.71    -0.51     0.70     0.09)  ;  1, 76
  (  -10.80    -0.68     0.70     0.09)  ;  1, 77
  (  -10.80    -1.11     0.70     0.09)  ;  1, 78
  (  -10.88    -1.28     0.70     0.09)  ;  1, 79
  (  -10.88    -1.53     0.70     0.09)  ;  1, 80
  (  -11.05    -1.70     0.70     0.09)  ;  1, 81
  (  -11.05    -2.04     0.80     0.09)  ;  1, 82
  (  -11.14    -2.30     0.80     0.09)  ;  1, 83
  (  -11.14    -2.89     0.80     0.09)  ;  1, 84
  (  -11.22    -3.06     0.80     0.09)  ;  1, 85
  (  -11.22    -4.34     0.80     0.09)  ;  1, 86
  (  -11.31    -4.42     0.80     0.09)  ;  1, 87
  (  -11.31    -5.70     0.90     0.09)  ;  1, 88
  (  -11.22    -5.87     1.30     0.09)  ;  1, 89
  (  -11.22    -6.38     1.30     0.09)  ;  1, 90
  (  -11.14    -6.55     1.30     0.09)  ;  1, 91
  (  -11.14    -7.14     1.60     0.09)  ;  1, 92
  (  -10.97    -7.40     1.60     0.09)  ;  1, 93
  (  -10.88    -7.65     1.60     0.09)  ;  1, 94
  (  -10.80    -7.82     1.90     0.09)  ;  1, 95
  (  -10.71    -7.99     1.90     0.09)  ;  1, 96
  (  -10.71    -8.25     1.90     0.09)  ;  1, 97
  (  -10.37    -8.50     1.90     0.09)  ;  1, 98
  (  -10.20    -8.59     2.40     0.09)  ;  1, 99
  (  -10.12    -8.76     2.80     0.09)  ;  1, 100
  (   -9.86    -9.10     2.80     0.09)  ;  1, 101
  (   -9.69    -9.18     2.80     0.09)  ;  1, 102
  (   -9.52    -9.27     3.10     0.09)  ;  1, 103
  (   -9.35    -9.35     3.10     0.09)  ;  1, 104
  (   -9.18    -9.44     3.10     0.09)  ;  1, 105
  (   -9.10    -9.52     3.40     0.09)  ;  1, 106
  (   -9.01    -9.69     3.40     0.09)  ;  1, 107
  (   -8.84    -9.69     3.10     0.09)  ;  1, 108
  (   -8.84    -9.86     3.10     0.09)  ;  1, 109
  (   -8.76    -9.95     3.10     0.09)  ;  1, 110
  (   -8.59    -9.95     2.20     0.09)  ;  1, 111
  (   -8.59   -10.12     2.20     0.09)  ;  1, 112
  (   -8.50   -10.20     1.00     0.09)  ;  1, 113
  (   -8.25   -10.20     1.00     0.09)  ;  1, 114
  (   -8.16   -10.29     0.00     0.09)  ;  1, 115
  (   -8.08   -10.46     0.00     0.09)  ;  1, 116
  (   -7.91   -10.54    -0.70     0.09)  ;  1, 117
  (   -7.82   -10.54    -0.70     0.09)  ;  1, 118
  (   -7.74   -11.39    -0.90     0.09)  ;  1, 119
  (   -7.65   -11.56    -0.90     0.09)  ;  1, 120
  (   -7.48   -11.65    -0.90     0.09)  ;  1, 121
  (   -7.40   -11.82    -0.90     0.09)  ;  1, 122
  (   -7.23   -12.07    -0.90     0.09)  ;  1, 123
  (   -7.06   -12.16    -0.90     0.09)  ;  1, 124
  (   -6.89   -12.24    -0.90     0.09)  ;  1, 125
  (   -6.89   -12.41    -0.90     0.09)  ;  1, 126
  (   -6.63   -12.41    -0.90     0.09)  ;  1, 127
  (   -6.55   -12.50    -0.90     0.09)  ;  1, 128
  (   -6.38   -12.58    -0.90     0.09)  ;  1, 129
  (   -6.21   -12.67    -2.00     0.09)  ;  1, 130
  (   -5.78   -12.84    -2.00     0.09)  ;  1, 131
  (   -5.61   -12.92    -2.00     0.09)  ;  1, 132
  (   -5.36   -12.92    -2.00     0.09)  ;  1, 133
  (   -5.27   -13.09    -2.00     0.09)  ;  1, 134
  (   -5.02   -13.18    -2.00     0.09)  ;  1, 135
  (   -4.93   -13.26    -2.40     0.09)  ;  1, 136
  (   -4.85   -13.43    -2.40     0.09)  ;  1, 137
  (   -4.68   -13.52    -2.40     0.09)  ;  1, 138
  (   -4.59   -13.60    -3.10     0.09)  ;  1, 139
  (   -4.34   -13.60    -3.10     0.09)  ;  1, 140
  (   -4.17   -13.69    -3.10     0.09)  ;  1, 141
  (   -3.91   -13.69    -3.80     0.09)  ;  1, 142
  (   -3.83   -13.86    -3.80     0.09)  ;  1, 143
  (   -3.66   -13.94    -4.10     0.09)  ;  1, 144
  (   -3.49   -14.03    -4.10     0.09)  ;  1, 145
  (   -3.40   -14.11    -4.10     0.09)  ;  1, 146
  (   -3.23   -14.20    -4.10     0.09)  ;  1, 147
  (   -3.15   -14.29    -4.10     0.09)  ;  1, 148
  (   -2.98   -14.37    -4.40     0.09)  ;  1, 149
  (   -2.98   -14.80    -4.90     0.09)  ;  1, 150
  (   -2.89   -14.88    -4.90     0.09)  ;  1, 151
  (   -2.72   -15.05    -5.30     0.09)  ;  1, 152
  (   -2.64   -15.22    -5.80     0.09)  ;  1, 153
  (   -2.47   -15.31    -5.80     0.09)  ;  1, 154
  (   -2.38   -15.48    -5.80     0.09)  ;  1, 155
  (   -2.30   -15.65    -5.80     0.09)  ;  1, 156
  (   -2.30   -15.82    -6.00     0.09)  ;  1, 157
  (   -2.21   -15.90    -6.00     0.09)  ;  1, 158
  (   -2.13   -15.99    -6.00     0.09)  ;  1, 159
  (   -2.13   -16.24    -6.70     0.09)  ;  1, 160
  (   -2.04   -16.33    -7.10     0.09)  ;  1, 161
  (   -1.96   -16.41    -7.50     0.09)  ;  1, 162
  (   -1.96   -17.01    -8.60     0.09)  ;  1, 163
  (   -1.87   -17.09    -8.70     0.09)  ;  1, 164
  (   -1.79   -17.18    -8.70     0.09)  ;  1, 165
  (   -1.70   -17.26    -9.30     0.09)  ;  1, 166
  (   -1.70   -17.43    -9.30     0.09)  ;  1, 167
  (   -1.62   -17.52   -10.10     0.09)  ;  1, 168
  (   -1.45   -17.60   -10.10     0.09)  ;  1, 169
  (   -1.36   -17.77   -10.10     0.09)  ;  1, 170
  (   -1.28   -17.86   -10.10     0.09)  ;  1, 171
  (   -1.19   -17.94   -10.10     0.09)  ;  1, 172
  (   -1.11   -18.03   -10.60     0.09)  ;  1, 173
  (   -0.94   -18.11   -10.60     0.09)  ;  1, 174
  (   -0.68   -18.11   -10.60     0.09)  ;  1, 175
  (   -0.60   -18.20   -11.00     0.09)  ;  1, 176
  (   -0.34   -18.20   -11.00     0.09)  ;  1, 177
  (   -0.17   -18.28   -11.00     0.09)  ;  1, 178
  (    0.00   -18.37   -11.00     0.09)  ;  1, 179
  (    4.00   -18.37   -11.80     0.09)  ;  1, 180
  (    4.17   -18.28   -11.80     0.09)  ;  1, 181
  (    4.34   -18.20   -11.80     0.09)  ;  1, 182
  (    4.51   -18.11   -11.80     0.09)  ;  1, 183
  (    4.59   -18.03   -11.80     0.09)  ;  1, 184
  (    4.76   -17.94   -11.80     0.09)  ;  1, 185
  (    4.93   -17.94   -11.80     0.09)  ;  1, 186
