TIme (s)	Voltage (V)
5.42470000000000e-01	-7.78358000000000e-02
5.42480000000000e-01	-7.78358000000000e-02
5.42490000000000e-01	-7.78358000000000e-02
5.42500000000000e-01	-7.78358000000000e-02
5.42510000000000e-01	-7.78358000000000e-02
5.42520000000000e-01	-7.78358000000000e-02
5.42530000000000e-01	-7.78358000000000e-02
5.42540000000000e-01	-7.78358000000000e-02
5.42550000000000e-01	-7.78358000000000e-02
5.42560000000000e-01	-7.78358000000000e-02
5.42570000000000e-01	-7.78358000000000e-02
5.42580000000000e-01	-7.78358000000000e-02
5.42590000000000e-01	-7.78358000000000e-02
5.42600000000000e-01	-7.78358000000000e-02
5.42610000000000e-01	-7.78358000000000e-02
5.42620000000000e-01	-7.78358000000000e-02
5.42630000000000e-01	-7.78358000000000e-02
5.42640000000000e-01	-7.78358000000000e-02
5.42650000000000e-01	-7.78358000000000e-02
5.42660000000000e-01	-7.78358000000000e-02
5.42670000000000e-01	-7.78358000000000e-02
5.42680000000000e-01	-7.78358000000000e-02
5.42690000000000e-01	-7.78358000000000e-02
5.42700000000000e-01	-7.78358000000000e-02
5.42710000000000e-01	-7.78358000000000e-02
5.42720000000000e-01	-7.78358000000000e-02
5.42730000000000e-01	-7.78358000000000e-02
5.42740000000000e-01	-7.78358000000000e-02
5.42750000000000e-01	-7.78358000000000e-02
5.42760000000000e-01	-7.78358000000000e-02
5.42770000000000e-01	-7.78358000000000e-02
5.42780000000000e-01	-7.78358000000000e-02
5.42790000000000e-01	-7.78358000000000e-02
5.42800000000000e-01	-7.78358000000000e-02
5.42810000000000e-01	-7.78358000000000e-02
5.42820000000000e-01	-7.78358000000000e-02
5.42830000000000e-01	-7.78358000000000e-02
5.42840000000000e-01	-7.78358000000000e-02
5.42850000000000e-01	-7.78358000000000e-02
5.42860000000000e-01	-7.78358000000000e-02
5.42870000000000e-01	-7.78358000000000e-02
5.42880000000000e-01	-7.78358000000000e-02
5.42890000000000e-01	-7.78358000000000e-02
5.42900000000000e-01	-7.78358000000000e-02
5.42910000000000e-01	-7.78358999999999e-02
5.42920000000000e-01	-7.78358999999999e-02
5.42930000000000e-01	-7.78358999999999e-02
5.42940000000000e-01	-7.78358999999999e-02
5.42950000000000e-01	-7.78358999999999e-02
5.42960000000000e-01	-7.78358999999999e-02
5.42970000000000e-01	-7.78358999999999e-02
5.42980000000000e-01	-7.78358999999999e-02
5.42990000000000e-01	-7.78358999999999e-02
5.43000000000000e-01	-7.78358999999999e-02
5.43010000000000e-01	-7.78358999999999e-02
5.43020000000000e-01	-7.78358999999999e-02
5.43030000000000e-01	-7.78358999999999e-02
5.43040000000000e-01	-7.78358999999999e-02
5.43050000000000e-01	-7.78358999999999e-02
5.43060000000000e-01	-7.78358999999999e-02
5.43070000000000e-01	-7.78358999999999e-02
5.43080000000000e-01	-7.78358999999999e-02
5.43090000000000e-01	-7.78358999999999e-02
5.43100000000000e-01	-7.78358999999999e-02
5.43110000000000e-01	-7.78358999999999e-02
5.43120000000000e-01	-7.78358999999999e-02
5.43130000000000e-01	-7.78358999999999e-02
5.43140000000000e-01	-7.78358999999999e-02
5.43150000000000e-01	-7.78358999999999e-02
5.43160000000000e-01	-7.78358999999999e-02
5.43170000000000e-01	-7.78358999999999e-02
5.43180000000000e-01	-7.78358999999999e-02
5.43190000000000e-01	-7.78358999999999e-02
5.43200000000000e-01	-7.78358999999999e-02
5.43210000000000e-01	-7.78358999999999e-02
5.43220000000000e-01	-7.78358999999999e-02
5.43230000000000e-01	-7.78358999999999e-02
5.43240000000000e-01	-7.78358999999999e-02
5.43250000000000e-01	-7.78358999999999e-02
5.43260000000000e-01	-7.78358999999999e-02
5.43270000000000e-01	-7.78358999999999e-02
5.43280000000000e-01	-7.78358999999999e-02
5.43290000000000e-01	-7.78358999999999e-02
5.43300000000000e-01	-7.78358999999999e-02
5.43310000000000e-01	-7.78358999999999e-02
5.43320000000000e-01	-7.78358999999999e-02
5.43330000000000e-01	-7.78358999999999e-02
5.43340000000000e-01	-7.78358999999999e-02
5.43350000000000e-01	-7.78358999999999e-02
5.43360000000000e-01	-7.78358999999999e-02
5.43370000000000e-01	-7.78358999999999e-02
5.43380000000000e-01	-7.78358999999999e-02
5.43390000000000e-01	-7.78359999999999e-02
5.43400000000000e-01	-7.78359999999999e-02
5.43410000000000e-01	-7.78359999999999e-02
5.43420000000000e-01	-7.78359999999999e-02
5.43430000000000e-01	-7.78359999999999e-02
5.43440000000000e-01	-7.78359999999999e-02
5.43450000000000e-01	-7.78359999999999e-02
5.43460000000000e-01	-7.78359999999999e-02
5.43470000000000e-01	-7.78359999999999e-02
5.43480000000000e-01	-7.78359999999999e-02
5.43490000000000e-01	-7.78359999999999e-02
5.43500000000000e-01	-7.78359999999999e-02
5.43510000000000e-01	-7.78359999999999e-02
5.43520000000000e-01	-7.78359999999999e-02
5.43530000000000e-01	-7.78359999999999e-02
5.43540000000000e-01	-7.78359999999999e-02
5.43550000000000e-01	-7.78359999999999e-02
5.43560000000000e-01	-7.78359999999999e-02
5.43570000000000e-01	-7.78359999999999e-02
5.43580000000000e-01	-7.78359999999999e-02
5.43590000000000e-01	-7.78359999999999e-02
5.43600000000000e-01	-7.78359999999999e-02
5.43610000000000e-01	-7.78359999999999e-02
5.43620000000000e-01	-7.78359999999999e-02
5.43630000000000e-01	-7.78359999999999e-02
5.43640000000000e-01	-7.78359999999999e-02
5.43650000000000e-01	-7.78359999999999e-02
5.43660000000000e-01	-7.78359999999999e-02
5.43670000000000e-01	-7.78359999999999e-02
5.43680000000000e-01	-7.78359999999999e-02
5.43690000000000e-01	-7.78359999999999e-02
5.43700000000000e-01	-7.78359999999999e-02
5.43710000000000e-01	-7.78359999999999e-02
5.43720000000000e-01	-7.78359999999999e-02
5.43730000000000e-01	-7.78359999999999e-02
5.43740000000000e-01	-7.78359999999999e-02
5.43750000000000e-01	-7.78359999999999e-02
5.43760000000000e-01	-7.78359999999999e-02
5.43770000000000e-01	-7.78359999999999e-02
5.43780000000000e-01	-7.78359999999999e-02
5.43790000000000e-01	-7.78359999999999e-02
5.43800000000000e-01	-7.78359999999999e-02
5.43810000000000e-01	-7.78359999999999e-02
5.43820000000000e-01	-7.78359999999999e-02
5.43830000000000e-01	-7.78359999999999e-02
5.43840000000000e-01	-7.78359999999999e-02
5.43850000000000e-01	-7.78359999999999e-02
5.43860000000000e-01	-7.78359999999999e-02
5.43870000000000e-01	-7.78359999999999e-02
5.43880000000000e-01	-7.78360999999999e-02
5.43890000000000e-01	-7.78360999999999e-02
5.43900000000000e-01	-7.78360999999999e-02
5.43910000000000e-01	-7.78360999999999e-02
5.43920000000000e-01	-7.78360999999999e-02
5.43930000000000e-01	-7.78360999999999e-02
5.43940000000000e-01	-7.78360999999999e-02
5.43950000000000e-01	-7.78360999999999e-02
5.43960000000000e-01	-7.78360999999999e-02
5.43970000000000e-01	-7.78360999999999e-02
5.43980000000000e-01	-7.78360999999999e-02
5.43990000000000e-01	-7.78360999999999e-02
5.44000000000000e-01	-7.78360999999999e-02
5.44010000000000e-01	-7.78360999999999e-02
5.44020000000000e-01	-7.78360999999999e-02
5.44030000000000e-01	-7.78360999999999e-02
5.44040000000000e-01	-7.78360999999999e-02
5.44050000000000e-01	-7.78360999999999e-02
5.44060000000000e-01	-7.78360999999999e-02
5.44070000000000e-01	-7.78360999999999e-02
5.44080000000000e-01	-7.78360999999999e-02
5.44090000000000e-01	-7.78360999999999e-02
5.44100000000000e-01	-7.78360999999999e-02
5.44110000000000e-01	-7.78360999999999e-02
5.44120000000000e-01	-7.78360999999999e-02
5.44130000000000e-01	-7.78360999999999e-02
5.44140000000000e-01	-7.78360999999999e-02
5.44150000000000e-01	-7.78360999999999e-02
5.44160000000000e-01	-7.78360999999999e-02
5.44170000000000e-01	-7.78360999999999e-02
5.44180000000000e-01	-7.78360999999999e-02
5.44190000000000e-01	-7.78360999999999e-02
5.44200000000000e-01	-7.78360999999999e-02
5.44210000000000e-01	-7.78360999999999e-02
5.44220000000000e-01	-7.78360999999999e-02
5.44230000000000e-01	-7.78360999999999e-02
5.44240000000000e-01	-7.78360999999999e-02
5.44250000000000e-01	-7.78360999999999e-02
5.44260000000000e-01	-7.78360999999999e-02
5.44270000000000e-01	-7.78360999999999e-02
5.44280000000000e-01	-7.78360999999999e-02
5.44290000000000e-01	-7.78360999999999e-02
5.44300000000000e-01	-7.78360999999999e-02
5.44310000000000e-01	-7.78360999999999e-02
5.44320000000000e-01	-7.78360999999999e-02
5.44330000000000e-01	-7.78360999999999e-02
5.44340000000000e-01	-7.78360999999999e-02
5.44350000000000e-01	-7.78360999999999e-02
5.44360000000000e-01	-7.78360999999999e-02
5.44370000000000e-01	-7.78360999999999e-02
5.44380000000000e-01	-7.78362000000000e-02
5.44390000000000e-01	-7.78362000000000e-02
5.44400000000000e-01	-7.78362000000000e-02
5.44410000000000e-01	-7.78362000000000e-02
5.44420000000000e-01	-7.78362000000000e-02
5.44430000000000e-01	-7.78362000000000e-02
5.44440000000000e-01	-7.78362000000000e-02
5.44450000000000e-01	-7.78362000000000e-02
5.44460000000000e-01	-7.78362000000000e-02
5.44470000000000e-01	-7.78362000000000e-02
5.44480000000000e-01	-7.78362000000000e-02
5.44490000000000e-01	-7.78362000000000e-02
5.44500000000000e-01	-7.78362000000000e-02
5.44510000000000e-01	-7.78362000000000e-02
5.44520000000000e-01	-7.78362000000000e-02
5.44530000000000e-01	-7.78362000000000e-02
5.44540000000000e-01	-7.78362000000000e-02
5.44550000000000e-01	-7.78362000000000e-02
5.44560000000000e-01	-7.78362000000000e-02
5.44570000000000e-01	-7.78362000000000e-02
5.44580000000000e-01	-7.78362000000000e-02
5.44590000000000e-01	-7.78362000000000e-02
5.44600000000000e-01	-7.78362000000000e-02
5.44610000000000e-01	-7.78362000000000e-02
5.44620000000000e-01	-7.78362000000000e-02
5.44630000000000e-01	-7.78362000000000e-02
5.44640000000000e-01	-7.78362000000000e-02
5.44650000000000e-01	-7.78362000000000e-02
5.44660000000000e-01	-7.78362000000000e-02
5.44670000000000e-01	-7.78362000000000e-02
5.44680000000000e-01	-7.78362000000000e-02
5.44690000000000e-01	-7.78362000000000e-02
5.44700000000000e-01	-7.78362000000000e-02
5.44710000000000e-01	-7.78362000000000e-02
5.44720000000000e-01	-7.78362000000000e-02
5.44730000000000e-01	-7.78362000000000e-02
5.44740000000000e-01	-7.78362000000000e-02
5.44750000000000e-01	-7.78362000000000e-02
5.44760000000000e-01	-7.78362000000000e-02
5.44770000000000e-01	-7.78362000000000e-02
5.44780000000000e-01	-7.78362000000000e-02
5.44790000000000e-01	-7.78362000000000e-02
5.44800000000000e-01	-7.78362000000000e-02
5.44810000000000e-01	-7.78362000000000e-02
5.44820000000000e-01	-7.78362000000000e-02
5.44830000000000e-01	-7.78362000000000e-02
5.44840000000000e-01	-7.78362000000000e-02
5.44850000000000e-01	-7.78362000000000e-02
5.44860000000000e-01	-7.78362000000000e-02
5.44870000000000e-01	-7.78362000000000e-02
5.44880000000000e-01	-7.78362000000000e-02
5.44890000000000e-01	-7.78362000000000e-02
5.44900000000000e-01	-7.78362999999999e-02
5.44910000000000e-01	-7.78362999999999e-02
5.44920000000000e-01	-7.78362999999999e-02
5.44930000000000e-01	-7.78362999999999e-02
5.44940000000000e-01	-7.78362999999999e-02
5.44950000000000e-01	-7.78362999999999e-02
5.44960000000000e-01	-7.78362999999999e-02
5.44970000000000e-01	-7.78362999999999e-02
5.44980000000000e-01	-7.78362999999999e-02
5.44990000000000e-01	-7.78362999999999e-02
5.45000000000000e-01	-7.78362999999999e-02
5.45010000000000e-01	-7.78362999999999e-02
5.45020000000000e-01	-7.78362999999999e-02
5.45030000000000e-01	-7.78362999999999e-02
5.45040000000000e-01	-7.78362999999999e-02
5.45050000000000e-01	-7.78362999999999e-02
5.45060000000000e-01	-7.78362999999999e-02
5.45070000000000e-01	-7.78362999999999e-02
5.45080000000000e-01	-7.78362999999999e-02
5.45090000000000e-01	-7.78362999999999e-02
5.45100000000000e-01	-7.78362999999999e-02
5.45110000000000e-01	-7.78362999999999e-02
5.45120000000000e-01	-7.78362999999999e-02
5.45130000000000e-01	-7.78362999999999e-02
5.45140000000000e-01	-7.78362999999999e-02
5.45150000000000e-01	-7.78362999999999e-02
5.45160000000000e-01	-7.78362999999999e-02
5.45170000000000e-01	-7.78362999999999e-02
5.45180000000000e-01	-7.78362999999999e-02
5.45190000000000e-01	-7.78362999999999e-02
5.45200000000000e-01	-7.78362999999999e-02
5.45210000000000e-01	-7.78362999999999e-02
5.45220000000000e-01	-7.78362999999999e-02
5.45230000000000e-01	-7.78362999999999e-02
5.45240000000000e-01	-7.78362999999999e-02
5.45250000000000e-01	-7.78362999999999e-02
5.45260000000000e-01	-7.78362999999999e-02
5.45270000000000e-01	-7.78362999999999e-02
5.45280000000000e-01	-7.78362999999999e-02
5.45290000000000e-01	-7.78362999999999e-02
5.45300000000000e-01	-7.78362999999999e-02
5.45310000000000e-01	-7.78362999999999e-02
5.45320000000000e-01	-7.78362999999999e-02
5.45330000000000e-01	-7.78362999999999e-02
5.45340000000000e-01	-7.78362999999999e-02
5.45350000000000e-01	-7.78362999999999e-02
5.45360000000000e-01	-7.78362999999999e-02
5.45370000000000e-01	-7.78362999999999e-02
5.45380000000000e-01	-7.78362999999999e-02
5.45390000000000e-01	-7.78362999999999e-02
5.45400000000000e-01	-7.78362999999999e-02
5.45410000000000e-01	-7.78362999999999e-02
5.45420000000000e-01	-7.78362999999999e-02
5.45430000000000e-01	-7.78362999999999e-02
5.45440000000000e-01	-7.78362999999999e-02
5.45450000000000e-01	-7.78362999999999e-02
5.45460000000000e-01	-7.78363999999999e-02
5.45470000000000e-01	-7.78363999999999e-02
5.45480000000000e-01	-7.78363999999999e-02
5.45490000000000e-01	-7.78363999999999e-02
5.45500000000000e-01	-7.78363999999999e-02
5.45510000000000e-01	-7.78363999999999e-02
5.45520000000000e-01	-7.78363999999999e-02
5.45530000000000e-01	-7.78363999999999e-02
5.45540000000000e-01	-7.78363999999999e-02
5.45550000000000e-01	-7.78363999999999e-02
5.45560000000000e-01	-7.78363999999999e-02
5.45570000000000e-01	-7.78363999999999e-02
5.45580000000000e-01	-7.78363999999999e-02
5.45590000000000e-01	-7.78363999999999e-02
5.45600000000000e-01	-7.78363999999999e-02
5.45610000000000e-01	-7.78363999999999e-02
5.45620000000000e-01	-7.78363999999999e-02
5.45630000000000e-01	-7.78363999999999e-02
5.45640000000000e-01	-7.78363999999999e-02
5.45650000000000e-01	-7.78363999999999e-02
5.45660000000000e-01	-7.78363999999999e-02
5.45670000000000e-01	-7.78363999999999e-02
5.45680000000000e-01	-7.78363999999999e-02
5.45690000000000e-01	-7.78363999999999e-02
5.45700000000000e-01	-7.78363999999999e-02
5.45710000000000e-01	-7.78363999999999e-02
5.45720000000000e-01	-7.78363999999999e-02
5.45730000000000e-01	-7.78363999999999e-02
5.45740000000000e-01	-7.78363999999999e-02
5.45750000000000e-01	-7.78363999999999e-02
5.45760000000000e-01	-7.78363999999999e-02
5.45770000000000e-01	-7.78363999999999e-02
5.45780000000000e-01	-7.78363999999999e-02
5.45790000000000e-01	-7.78363999999999e-02
5.45800000000000e-01	-7.78363999999999e-02
5.45810000000000e-01	-7.78363999999999e-02
5.45820000000000e-01	-7.78363999999999e-02
5.45830000000000e-01	-7.78363999999999e-02
5.45840000000000e-01	-7.78363999999999e-02
5.45850000000000e-01	-7.78363999999999e-02
5.45860000000000e-01	-7.78363999999999e-02
5.45870000000000e-01	-7.78363999999999e-02
5.45880000000000e-01	-7.78363999999999e-02
5.45890000000000e-01	-7.78363999999999e-02
5.45900000000000e-01	-7.78363999999999e-02
5.45910000000000e-01	-7.78363999999999e-02
5.45920000000000e-01	-7.78363999999999e-02
5.45930000000000e-01	-7.78363999999999e-02
5.45940000000000e-01	-7.78363999999999e-02
5.45950000000000e-01	-7.78363999999999e-02
5.45960000000000e-01	-7.78363999999999e-02
5.45970000000000e-01	-7.78363999999999e-02
5.45980000000000e-01	-7.78363999999999e-02
5.45990000000000e-01	-7.78363999999999e-02
5.46000000000000e-01	-7.78364999999999e-02
5.46010000000000e-01	-7.78364999999999e-02
5.46020000000000e-01	-7.78364999999999e-02
5.46030000000000e-01	-7.78364999999999e-02
5.46040000000000e-01	-7.78364999999999e-02
5.46050000000000e-01	-7.78364999999999e-02
5.46060000000000e-01	-7.78364999999999e-02
5.46070000000000e-01	-7.78364999999999e-02
5.46080000000000e-01	-7.78364999999999e-02
5.46090000000000e-01	-7.78364999999999e-02
5.46100000000000e-01	-7.78364999999999e-02
5.46110000000000e-01	-7.78364999999999e-02
5.46120000000000e-01	-7.78364999999999e-02
5.46130000000000e-01	-7.78364999999999e-02
5.46140000000000e-01	-7.78364999999999e-02
5.46150000000000e-01	-7.78364999999999e-02
5.46160000000000e-01	-7.78364999999999e-02
5.46170000000000e-01	-7.78364999999999e-02
5.46180000000000e-01	-7.78364999999999e-02
5.46190000000000e-01	-7.78364999999999e-02
5.46200000000000e-01	-7.78364999999999e-02
5.46210000000000e-01	-7.78364999999999e-02
5.46220000000000e-01	-7.78364999999999e-02
5.46230000000000e-01	-7.78364999999999e-02
5.46240000000000e-01	-7.78364999999999e-02
5.46250000000000e-01	-7.78364999999999e-02
5.46260000000000e-01	-7.78364999999999e-02
5.46270000000000e-01	-7.78364999999999e-02
5.46280000000000e-01	-7.78364999999999e-02
5.46290000000000e-01	-7.78364999999999e-02
5.46300000000000e-01	-7.78364999999999e-02
5.46310000000000e-01	-7.78364999999999e-02
